# graph: 2359 edges, 297 vertices
# 2core: 2344 depth: 1 edges, 297 vertices
IT:        0/10000 | DEC:     0/30 | ERR:        1e+20/1e-05 | ON:   285 | S:    25 | ON2:   285 | BAD:   200 | COST:           25 | EN:       -282.5   
IT:        1/10000 | DEC:     0/30 | ERR:      4.49741/1e-05 | ON:   285 | S:   138 | ON2:   285 | BAD:    50 | COST:          138 | EN:       -271.2   
IT:        2/10000 | DEC:     0/30 | ERR:      4.77911/1e-05 | ON:   285 | S:   137 | ON2:   285 | BAD:    42 | COST:          137 | EN:       -271.3   
IT:        3/10000 | DEC:     0/30 | ERR:      4.97333/1e-05 | ON:   285 | S:   133 | ON2:   285 | BAD:    53 | COST:          133 | EN:       -271.7   
IT:        4/10000 | DEC:     0/30 | ERR:      4.81959/1e-05 | ON:   285 | S:   134 | ON2:   285 | BAD:    46 | COST:          134 | EN:       -271.6   
IT:        5/10000 | DEC:     0/30 | ERR:      4.82775/1e-05 | ON:   285 | S:   129 | ON2:   285 | BAD:    54 | COST:          129 | EN:       -272.1   
IT:        6/10000 | DEC:     0/30 | ERR:       4.8489/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    50 | COST:          125 | EN:       -272.5   
IT:        7/10000 | DEC:     0/30 | ERR:      4.74357/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    49 | COST:          123 | EN:       -272.7   
IT:        8/10000 | DEC:     0/30 | ERR:       5.1331/1e-05 | ON:   285 | S:   129 | ON2:   285 | BAD:    31 | COST:          129 | EN:       -272.1   
IT:        9/10000 | DEC:     0/30 | ERR:      5.25347/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    35 | COST:          128 | EN:       -272.2   
IT:       10/10000 | DEC:     0/30 | ERR:      5.18628/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    48 | COST:          122 | EN:       -272.8   
IT:       11/10000 | DEC:     0/30 | ERR:       5.0717/1e-05 | ON:   285 | S:   119 | ON2:   285 | BAD:    52 | COST:          119 | EN:       -273.1   
IT:       12/10000 | DEC:     0/30 | ERR:      4.86426/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    39 | COST:          126 | EN:       -272.4   
IT:       13/10000 | DEC:     0/30 | ERR:      4.81071/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    49 | COST:          122 | EN:       -272.8   
IT:       14/10000 | DEC:     0/30 | ERR:      4.90389/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    50 | COST:          123 | EN:       -272.7   
IT:       15/10000 | DEC:     0/30 | ERR:      5.12079/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    36 | COST:          128 | EN:       -272.2   
IT:       16/10000 | DEC:     0/30 | ERR:      5.13236/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    48 | COST:          124 | EN:       -272.6   
IT:       17/10000 | DEC:     0/30 | ERR:      5.20455/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    40 | COST:          126 | EN:       -272.4   
IT:       18/10000 | DEC:     0/30 | ERR:      4.95712/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    37 | COST:          124 | EN:       -272.6   
IT:       19/10000 | DEC:     0/30 | ERR:      5.20306/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    23 | COST:          130 | EN:         -272   
IT:       20/10000 | DEC:     0/30 | ERR:      5.18049/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    39 | COST:          125 | EN:       -272.5   
IT:       21/10000 | DEC:     0/30 | ERR:      5.32818/1e-05 | ON:   285 | S:   121 | ON2:   285 | BAD:    48 | COST:          121 | EN:       -272.9   
IT:       22/10000 | DEC:     0/30 | ERR:      5.19086/1e-05 | ON:   285 | S:   120 | ON2:   285 | BAD:    48 | COST:          120 | EN:         -273   
IT:       23/10000 | DEC:     0/30 | ERR:      5.12226/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    42 | COST:          125 | EN:       -272.5   
IT:       24/10000 | DEC:     0/30 | ERR:      5.00016/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    31 | COST:          126 | EN:       -272.4   
IT:       25/10000 | DEC:     0/30 | ERR:      4.90216/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    34 | COST:          128 | EN:       -272.2   
IT:       26/10000 | DEC:     0/30 | ERR:       4.9228/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    43 | COST:          122 | EN:       -272.8   
IT:       27/10000 | DEC:     0/30 | ERR:      4.98468/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    32 | COST:          130 | EN:         -272   
IT:       28/10000 | DEC:     0/30 | ERR:      5.26579/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    36 | COST:          126 | EN:       -272.4   
IT:       29/10000 | DEC:     0/30 | ERR:      5.39198/1e-05 | ON:   285 | S:   123 | ON2:   285 | BAD:    41 | COST:          123 | EN:       -272.7   
IT:       30/10000 | DEC:     0/30 | ERR:      5.75621/1e-05 | ON:   285 | S:   129 | ON2:   285 | BAD:    28 | COST:          129 | EN:       -272.1   
IT:       31/10000 | DEC:     0/30 | ERR:      5.71975/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    37 | COST:          126 | EN:       -272.4   
IT:       32/10000 | DEC:     0/30 | ERR:      5.68817/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    36 | COST:          126 | EN:       -272.4   
IT:       33/10000 | DEC:     0/30 | ERR:      5.48239/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    35 | COST:          125 | EN:       -272.5   
IT:       34/10000 | DEC:     0/30 | ERR:      5.48563/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    31 | COST:          125 | EN:       -272.5   
IT:       35/10000 | DEC:     0/30 | ERR:      5.62866/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    39 | COST:          128 | EN:       -272.2   
IT:       36/10000 | DEC:     0/30 | ERR:      5.60489/1e-05 | ON:   285 | S:   126 | ON2:   285 | BAD:    34 | COST:          126 | EN:       -272.4   
IT:       37/10000 | DEC:     0/30 | ERR:      5.68379/1e-05 | ON:   285 | S:   120 | ON2:   285 | BAD:    45 | COST:          120 | EN:         -273   
IT:       38/10000 | DEC:     0/30 | ERR:      5.82845/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    36 | COST:          124 | EN:       -272.6   
IT:       39/10000 | DEC:     0/30 | ERR:      5.77029/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    31 | COST:          130 | EN:         -272   
IT:       40/10000 | DEC:     0/30 | ERR:      5.37271/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    33 | COST:          124 | EN:       -272.6   
IT:       41/10000 | DEC:     0/30 | ERR:      5.37448/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    38 | COST:          124 | EN:       -272.6   
IT:       42/10000 | DEC:     0/30 | ERR:      5.59738/1e-05 | ON:   285 | S:   128 | ON2:   285 | BAD:    30 | COST:          128 | EN:       -272.2   
IT:       43/10000 | DEC:     0/30 | ERR:      5.44243/1e-05 | ON:   285 | S:   130 | ON2:   285 | BAD:    33 | COST:          130 | EN:         -272   
IT:       44/10000 | DEC:     0/30 | ERR:      5.24876/1e-05 | ON:   285 | S:   134 | ON2:   285 | BAD:    21 | COST:          134 | EN:       -271.6   
IT:       45/10000 | DEC:     0/30 | ERR:      5.22512/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    33 | COST:          125 | EN:       -272.5   
IT:       46/10000 | DEC:     0/30 | ERR:       5.3186/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    26 | COST:          127 | EN:       -272.3   
IT:       47/10000 | DEC:     0/30 | ERR:      5.63906/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    33 | COST:          122 | EN:       -272.8   
IT:       48/10000 | DEC:     0/30 | ERR:      5.69627/1e-05 | ON:   285 | S:   120 | ON2:   285 | BAD:    43 | COST:          120 | EN:         -273   
IT:       49/10000 | DEC:     0/30 | ERR:      5.73831/1e-05 | ON:   285 | S:   122 | ON2:   285 | BAD:    35 | COST:          122 | EN:       -272.8   
IT:       50/10000 | DEC:     0/30 | ERR:      5.88073/1e-05 | ON:   285 | S:   124 | ON2:   285 | BAD:    26 | COST:          124 | EN:       -272.6   
IT:       51/10000 | DEC:     0/30 | ERR:      6.00026/1e-05 | ON:   285 | S:   118 | ON2:   285 | BAD:    47 | COST:          118 | EN:       -273.2   
IT:       52/10000 | DEC:     0/30 | ERR:      6.05131/1e-05 | ON:   285 | S:   125 | ON2:   285 | BAD:    31 | COST:          125 | EN:       -272.5   
IT:       53/10000 | DEC:     0/30 | ERR:      6.02638/1e-05 | ON:   285 | S:   127 | ON2:   285 | BAD:    33 | COST:          127 | EN:       -272.3   
